id,age,height,weight,score,city,gender,income
1,23,165,60,72,Berlin,F,32000
2,31,178,82,88,Hamburg,M,47000
3,27,172,70,65,Munich,M,39000
4,45,160,55,91,Berlin,F,61000
5,38,183,90,77,Frankfurt,M,53000
6,29,169,,84,Hamburg,F,41000
7,52,175,78,59,Munich,M,70000
8,34,162,63,93,Berlin,F,45000
9,41,180,85,,Frankfurt,M,58000
10,26,158,52,70,Hamburg,F,30000
11,36,176,79,82,Munich,M,50000
12,48,167,68,88,Berlin,F,65000
13,22,171,,61,Frankfurt,M,28000
14,55,163,58,95,Hamburg,F,72000
15,30,179,88,76,Munich,M,44000
16,43,174,76,89,Berlin,F,59000
17,25,168,65,,Frankfurt,M,33000
18,39,182,92,71,Hamburg,M,54000
19,28,161,56,85,Munich,F,38000
20,47,177,80,78,Berlin,M,67000
